"subject_id" "activity_type" "variable" "mean" "st_deviation"
2 "WALKING" "tBodyAcc-mean()-X" 0.276426586440678 0.0512737908812502
4 "WALKING" "tBodyAcc-mean()-X" 0.278582015166667 0.0292455288147581
9 "WALKING" "tBodyAcc-mean()-X" 0.278502842115385 0.0320063491931807
10 "WALKING" "tBodyAcc-mean()-X" 0.278574076603774 0.0653867875331404
12 "WALKING" "tBodyAcc-mean()-X" 0.2771286656 0.0654817265520313
13 "WALKING" "tBodyAcc-mean()-X" 0.275883130350877 0.0442758181763914
18 "WALKING" "tBodyAcc-mean()-X" 0.273887758571429 0.0457814902344409
20 "WALKING" "tBodyAcc-mean()-X" 0.272589336470588 0.0504212883356171
24 "WALKING" "tBodyAcc-mean()-X" 0.276980816034483 0.0330299216913412
1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842 0.0463917265678392
3 "WALKING" "tBodyAcc-mean()-X" 0.275567462068966 0.047463858730362
5 "WALKING" "tBodyAcc-mean()-X" 0.27784234625 0.0507862913828755
6 "WALKING" "tBodyAcc-mean()-X" 0.283658868070175 0.0568551347099674
7 "WALKING" "tBodyAcc-mean()-X" 0.275592961754386 0.0526629877200493
8 "WALKING" "tBodyAcc-mean()-X" 0.27468631 0.0511346157706234
11 "WALKING" "tBodyAcc-mean()-X" 0.271821892881356 0.0494169725110397
14 "WALKING" "tBodyAcc-mean()-X" 0.271959598644068 0.0488530142249656
15 "WALKING" "tBodyAcc-mean()-X" 0.273899207962963 0.0582757117614183
16 "WALKING" "tBodyAcc-mean()-X" 0.276023564509804 0.0486170992206161
17 "WALKING" "tBodyAcc-mean()-X" 0.272341855245902 0.0398861263174582
19 "WALKING" "tBodyAcc-mean()-X" 0.273931172307692 0.0468053350154373
21 "WALKING" "tBodyAcc-mean()-X" 0.279183526730769 0.0420082985842789
22 "WALKING" "tBodyAcc-mean()-X" 0.27886459 0.0414745772724656
23 "WALKING" "tBodyAcc-mean()-X" 0.273211884237288 0.0560871069857005
25 "WALKING" "tBodyAcc-mean()-X" 0.278992759054054 0.0278185345691957
26 "WALKING" "tBodyAcc-mean()-X" 0.279264443728814 0.0588265206552693
27 "WALKING" "tBodyAcc-mean()-X" 0.276849485438596 0.0498580980403166
28 "WALKING" "tBodyAcc-mean()-X" 0.281228223888889 0.0652371135647153
29 "WALKING" "tBodyAcc-mean()-X" 0.271999916792453 0.0721091274673046
30 "WALKING" "tBodyAcc-mean()-X" 0.276406758 0.0458288819983978
2 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.247164790395833 0.0595413279362636
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270876696730769 0.0626109467474745
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.262436475714286 0.0601365198113057
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.267121853404255 0.0794530824649991
12 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.272970338653846 0.043740460767246
13 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.258203939581818 0.0827985635964746
18 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265401201896552 0.064444886532405
20 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.252098317156863 0.0993333906437448
24 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.269881106779661 0.0719655185609436
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.255461689622641 0.0499619102720454
3 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.260819873067797 0.0769843087765717
5 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.268459469914894 0.095308616568348
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.268229355098039 0.0665411772113639
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.248706923078431 0.0920143491670802
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.258880152048781 0.101342605187527
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.263775859277778 0.0641942156020098
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.26242106612963 0.0912535651106791
15 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270187595833333 0.0872047461592231
16 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.255986102627451 0.0674747086852414
17 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.252604768583333 0.103399734617352
19 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.242118808925 0.095607128709717
21 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265194544680851 0.0816766689965105
22 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.248391534566667 0.100429120182455
23 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.249995171031373 0.0741960031638969
25 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277995411384615 0.0657310970668629
